3.0 Policy Priority Areas,3.0 Mfundo Zopambana Mndondomekozi
Malawi’s disaster risk management efforts align with the country’s development strategy of creating a safer environment for all of its citizens. ,Ntchito yolimbana ndi ngozi zakugwa mwadzidzidzi ku Malawi ikuyendera limodzi ndi chiyang'aniro chofuna kuteteza chilengedwe mopindulira a Malawi onse.
These combined efforts also help reduce the strain on the country’s gross domestic product (GDP) by reducing the economic impact ,Zonsezi pamodzi zikuthandiziranso kuchepetsa mavuto a chuma cha dziko pochepetsa mavuto a zachuma 
and loss of livelihoods which occur following a disaster.,ndi kuonongeka kwa ntchito za chuma chifukwa cha ngozi zakugwa mwadzidzidzi.
"Furthermore, key sector initiatives within social protection and water resources have already been defined, ","Komanso, mfundo zikuluzikulu mzigawo za kuteteza chikhalidwe chabwino cha anthu ndi kusamalira madzi zinakhazikitsidwa kale,"
allowing government officials to use the results of the combined disaster risk analysis ,zimene zikuthandiza boma kugwiritsa ntchito zotsatira zake pamodzi
and use of new disaster risk management measures to continue to make further improvements to forecasting and risk modeling. ,kuti likonze njira zatsopano zothandizira kuchepetsa ndi kukonzekera ngozi zakugwa mwadzidzidzi.
"This will include improved safety nets for the most vulnerable populations,","Izi zionjezera chitetezo cha anthu amene ali pa chiopsyezo chachikuru,"
increased irrigation within the agricultural sector and improvements in early warning for floods and drought.,kuonjezera ulimi wa mthirira ndi kukonza njira zochenjezera anthu za madzi osefukira ndi chilala zisanachitike.
“The Malawi DRM program is a good example how we try to systematically engage with African countries to strengthen long term disaster and climate resilience. ,"""Ntchito yolimbana ndi ngozi zakugwa mwadzidzidzi ya boma la Malawi ndi chitsanzo chabwino cha m'mene tikuyesera kukonza dongosolo lokhazikika ndi maiko a mu Africa kuti atha kutetezeka ku ngozi zokugwa mwadzidzidzi ndi kusintha kwa nyengo."
"It first provided the analytical basis to better understand and quantify the risks,","Inayamba ndi kuchita kafukufuku ofuna kumvetsetsa ndi kudziwa mavuto amene alipo,"
"and then integrates risk reduction with climate-smart approaches which are used to build the needed framework that, in the end, truly improves the safety of all citizens.","kenaka imagwiritsa njira zochepetsa chiopsyezo ndi nkira zochepetsa kusintha kwa nyengo, zimene zimathandizira kuonjezera kuthekera ndi kuteteza anthu onse."
"Climate change in Malawi is pushing people further into poverty and women are suffering most, according to our new report (Wed June 17).","Malingana ndi lipoti lathu latsopano (June 17), kusintha kwa nyengo kukupangitsa anthu ambiri kukhala akusaukirabe ndipo amayi ndi omwe akuvutika kwambiri."
"The report, The Winds of Change: Climate change, poverty and the environment in Malawi, says that an increase in temperatures and intense rain in Malawi over the past 40 years has led to ","Lipotili, Mphepo Zosintha: Kusintha kwa Nyengo, Umphawi ndi Chilengedwe m'Malawi, likuonetsa kuti kutentha moonjeza ndi kuchuruka kwa mvula mu zaka 40 zapitazi zabweretsa"
"drought and flooding, causing shorter growing seasons, poor crop yields, food shortages, hunger and the spread of disease in a country where 29 per cent of people already live in extreme poverty","chilala ndi kusefukira kwa madzi, kufupikitsa nthawi yolima, kuchepetsa zokolola, njala ndi kufalikira kwa matenda mu dziko limene anthu 29 pa 100 alionse akukhala mu umphawi wa dzaoneni."
"As women have multiple roles in Malawi as farmers, child carers, providers of food, water and firewood, they are affected most by the changing climate, according to the report. ","Popeza amayi ali ndi udindo waukulu m'Malawi muno, monga alimi, kusamalira ana, kupeza chakudya, madzi ndi nkhuni, amakhudzidwa kwambiri ndi kusintha kwa nyengo, lipotili likutero."
"Women’s weak position in Malawian society also means that, generally, they have less access to income and credit and no voice in decision-making, ","Kuchepa mphamvu kwa amayi pa chikhalidwe cha ku Malawi kumapangitsanso kuti, mwachidule, ali ndi kuthekera kochepa kupeza ndalama kapena ngongole komanso alibe mau pa ziganizo zikuluzikulu, "
making it difficult for them to find other sources of income or influence action on climate change in Malawi.,zimene zimapangitsa kuti kukhale kovuta kupeza njira zina zopezera ndalama kapena kuti ayambitse ntchito yolimbana ndi kusintha kwa nyengo.
"The report also warns that, in the absence of food, some vulnerable women may be forced to resort to selling sex for food, which could lead to an increased vulnerability to HIV/AIDS. ","Lipotili likuchenjezanso kuti, chifukwa cha kusowa chakudya, amayi ena akukamizidwa kupanga chiwerewere kuti apatsidwe ndalama, zimene zikuonjezeranso chiopsyezo chawo ku matenda a EDZI."
The spread of HIV/AIDS in turn weakens people’s ability to respond to the changing climate.,"Zotsatira zake, kufala kwa matenda a EDZI kumapangitsanso anthu kukhala ofooka kuti achitepo kanthu pa nkhani ya kusintha kwa nyengo."
"Oxfam Malawi Country Director, Sanjay Awasthi , said:","Mkulu wa bungwe la Oxfam kuno ku Malawi, a Sanjar Awasthi, adanena kuti:"
":“Despite the fact that Malawi’s greenhouse gas emissions are minuscule, climate change is hitting poor countries like Malawi first and worst and people are suffering, especially women.","""Ngakhale dziko la Malawi limaturutsa mipweya yowonjezera kutentha mu mlengalenga yochepa kwambiri, zotsatira za kusintha kwa nyengo zikukhudza kwambiri mayiko osaukitsitsa ngati Malawi ndipo anthu akuvutika, makamaka amayi."
Climate change is exacerbating the inequalities that already exist for women in Malawi.,Kusintha kwa nyengo kukuonjezera mavuto amene amayi amakumana nawo kuno ku Malawi.
"Men are also struggling to cope with the effects of climate change, but as we are more likely to be educated, to have savings and skills to earn money, we have more opportunities to adapt.”","Abambonso akuvutika ndi mavuto a kusintha kwa nyengo, koma nthawi zambiri poti abambo amakhala ophunzira, ali ndi kuthekera kopeza ndi kusunga ndalama, amakhala ndi mwayi ozidalira."""
"Esther Chanache from Tsite village in Southern Malawi, adds:“",A Esther Chanacha a m'mudzi wa Tsite mchigawo cha kumwera akuonjezera kuti:
":“We women have largely been affected in terms of fetching water. Previously the rivers would run all year round but now when the rains stop, the rivers dry up. We have to walk long distances.”","""Amayi takhudziwa kwakukulu ku mbali yotunga madzi. M'mbuyomo mitsinje imakhala ndi madzi chaka chonse koma pano mvula ikangotha, mitsinje nayo imauma. Tikumayenda mitunda italiitali kuti tipeze madzi."""
"The report calls for rich countries, who produce three quarters of the world’s greenhouse gas emissions that are instrumental in causing dangerous climate change,","Lipotili likuyitanira maiko otukuka, amene amaturutsa mipweya yowonjezera kutentha mu mlengalenga yochuruka, imene imayambitsa kusintha kwa nyengo,"
"to slash their emissions and also provide funds to help poor countries like Malawi, who are not responsible for the changes the climate is forcing on their environment, to adapt.",kuti achepetse mipweya yoipa imene amaturutsa komanso kuti atenge chuma chawo ndi kuthandiza maiko osauka ngati malawi amane akhudzidwa ndi kusintha kwa nyengo kuti adzitolere.
"It also makes recommendations for Malawian government and society to encourage them to take action to adapt to the vagaries of climate change,","Likulimbikitsanso boma la Malawi ndi nzika zake kuti achitepo kanthu polimbana ndi mavuto a kusintha kwa nyengo,"
but makes clear that women’s participation must be central to any of these efforts.Sanjay Awasthi adds:,ndipo likutsindikanso kuti mu zonsezi amayi akhale patsogolo kutenga gawo. A Sanjay Awasthi akuonjezera kuti:
:“Climate change adaptation should take women’s needs into consideration.,"""Zofuna za amayi ziganiziridwe polimbana ndi mavuto a kusintha kwa nyengo."
It should include things like practical help for women caring for orphans to allow them time and energy to cultivate their gardens ,Tiunikire zinthu ngati kuthandiza amayi omwe akusamalira ana a masiye ndi kuwalola nthawi ndi mpamvu kuti azilima
"and implement soil and water conservation, and access to credit to allow them to start small businesses""","ndi kugwiritsa ntchito njira zosamala nthaka ndi madzi, ndi thandizo la chuma kuti athe kuyamba ma bizinesi."""
Oxfam is already supporting Malawians to mitigate and adapt to climate change,"Oxfam inayamba kale kuthandiza a Malawi kuti achepetse kusintha kwa nyengo komanso mavuto obwera kamba ka kusintha kwa nyengo,"
" or example, an Oxfam-funded irrigation system has enabled 400 farming families to become completely self-sufficient, cultivating crops all year round.","mwa chitsanzo, ndi thandizo la ndalama kuchoka ku Oxfam, alimi ochokera mabanja 400 athandizidwa kukhala odziyimira pa okha, kulima mbewu chaka chonse."
"Despite the fact that Malawi’s greenhouse gas emissions are minuscule, climate change is hitting poor countries like Malawi first and worst and people are suffering, especially women.","Ngakhale dziko la Malawi limaturutsa mipweya yowonjezera kutentha mu mlengalenga yochepa kwambiri, zotsatira za kusintha kwa nyengo zikukhudza kwambiri mayiko osaukitsitsa ngati Malawi ndipo anthu akuvutika, makamaka amayi."
"Climate change and its associated impacts continue to ravage Malawi, exacerbating poverty and raising doubts over the ability of the country to attain the recently adopted Sustainable Development Goals (SDGs). ","Kusintha kwa nyengo ndi mavuto ake zikupitilira kuononga Malawi, kuonjezera umphawi ndi kusokone kuthekera kwake kofikira ziyang'aniro za chitukuko za SDG."
"According to the United Nations Entity for Gender Equality and the Empowerment of Women, the country is losing 1.7 percent of its gross domestic product – about USD 22 million (MK 16 billion) – on average every year due to the combined effects of drought and floods.","Malingana ndi bungwe loona kuti pasakhale kusiyana pakati pa amayi ndi abambo mu mgwirizano wa maiko a dziko lonse, boma limataya ndalama zoposa 16 biliyoni kwacha pachaka chifukwa cha chilala ndi kusefukira kwa madzi."
"Between 1967 and 2003, the country experienced six major droughts and 18 incidences of flooding, which heavily impacted smallholder farmers","Mu zaka za pakata pa 1967 ndi 2003, kunachitika chilala kasanu ndi kamodzi (6) ndi ngozi za kusefukira kwa madzi zokwana khumi ndi zisanu ndi mphambu zitatu (18) zimene zinakhudza kwambiri alimi ang'onoang'ono."
"Droughts in 2011-2012 had severe effects on food security in many districts, with approximately 2 million people affected – particularly in the south. ","Chilala mu zaka za 2011 ndi 2012 chinaonjezera mavuto a kusowa kwa chakudya m'maboma ambiri, anthu okhudziwa anafika 2 miliyoni - makamaka m'chigawo cha kumwera."
The country has also only just recovered from extensive flooding that took place in 2015 and left many lives and livelihoods destroyed; ,"Pakali pano, dziko langobwelera kuchokera ku ngozi ya kusefukira kwa madzi imene inachitika m'chaka cha 2015 ndipo anthu ambiri anatisiya ndi ntchito zawo zopezera ndalama zinataika;"
"it is estimated that 1,101,364 people were affected, with 230,000 displaced and 106 killed. In 2016, drought conditions occurred due to the strong El Nino.","zimaoneka kuti anthu 1,101,364 ndi amene anakhudzidwa, mwa iwo 230,000 anasowa kokhala pamene 106 anafa. Mu 2016, kunali chilala chobwera ndi mphepo za El Nino."
"This resulted in extensive crop failures, affecting 2.8 million people.","Izi zinapangitsa kuti mbewu za ku munda zisachite bwino, anthu 2.8 miliyoni ndiwo anakhudzidwa. "
Evolving risks,Kusintha kwa Chiopsyezo
"This combination of consecutive droughts mixed with heavy floods makes countries such as Malawi highly vulnerable to climate variability, ","Ngozi za kusefukira kwa madzi ndi chilala kuchitikira nthawi imodzi zimapangitsa maiko ngati Malawi kukhala pa chiopsyezo chachikuru cha kusinthasintha kwa nyengo,"
which is only expected to worsen under a warmer climate future.,zimene zikuoneka kuti zikhala zikuyipirayipirabe mtsogolomu.
Increases in the severity of extreme events such as floods and storms (due to rising temperatures and atmospheric moisture) will potentially further exacerbate the hazards faced. ,Kuchuruka komanso kukula mphamvu kwa madzi osefukira ndi a namondwe (kamba ka kutentha koonjeza ndi kuchuruka chinyontho mu mlengalenga) zikhoza kupitiriza kuonjezera zoopsya zimene zimaoneka.
Malawi’s Department of Climate Change and Meteorological services (DCCMS) has warned that the country will continue to experience floods.,Oona za nyengo ku Malawi achenjeza kuti dziko la Malawi lipitilira kuona ngozi za kusefukira kwa madzi.
"This year, the rains have been delayed. Rainfall can longer be predicted.","Chaka chino, mvula yachedwa. Pano sizikuthekanso kunena nthawi imene ungayembekezere mvula."
Districts that have always experienced temperatures below 30?C have had temperatures rising up to 40?C. ,Maboma omwe sikunayambe kwatentha kufika 30?C ayamba kutentha kufika 40?C .
Each of these occurrences has been attributed to climate change – a man-made problem. ,Zochitika zonsezi zikudza chifukwa cha kusintha kwa nyengo - vuto lobwera ndi zochita za anthu.
"Due to their high levels of historic greenhouse gas emissions from industry, developed countries are those most responsible for climate change",Maiko otukuka ndi amene atenga gawo lalikuru kuyambitsa kusintha kwa nyengo potengera kuti akhala akuturutsa mipweya yowonjezera kutentha mu mlengalenga kuchokera ku ma fakitale kwa nthawi yayitali.
"However, the effects of climate change are being heavily felt by developing countries like Malawi, which have little capacity to respond and adapt to such catastrophes.","Komabe, zotsatira zake zikukhudza kwambiri mayiko omwe akutukuka kumene monga Malawi, amene alibe kuthekera kolimbana ndi mavuto amenewa."
"Impacts are already being seen in the increasing levels of poverty among smallholder farmers, who mainly rely on agriculture for their livelihoods. ","Zotsatirazi zinayamba kale kuonekera pa alimi ang'onoang'ono, omwe amadalira ulimi kuti apeze zofunikira pa moyo wawo."
"However, it is not only rural livelihoods in Malawi that are being affected by the severe impacts on the agricultural sector;","Komabe, si madera a kumudzi okha amene akhudziwa ndi zotsatira ku ntchito za ulimi;"
non-agricultural and urban households are also being impacted due to the strong production and price linkages between agriculture and the rest of the economy.,anthu ogwira ntchito zina okhala m'mizinda nawonso akhudzidwa kamba ka kukwera kwa zinthu chifukwa cha kukwera mtengo kwa chakudya ndi mbewu zina.
Climate and poverty,Nyengo ndi Umphawi
"Annie Ganizani, 47, a subsistence farmer from Kandulu Village in Salima District, Central Malawi, ","A Annie Ganizani, a zaka 47, ndi mlimi amene amalima mbewu zoti azidya pakhomo pawo ochokera m’mudzi wa Kandulu, boma la Salima, mchigawo cha pakati. "
 has witnessed the impacts of climate change first-hand over the last decade.,Iwo aona zotsatira za kusintha kwa nyengo mu zaka khumi zapitazi. 
"“I was born into a family of subsistence farmers,” says Ganizani. ","“Ndinabadwa m’banja la alimi,” amatero a Ganizani."
"“My parents failed to give me education due to, among other reasons, poverty.","“Makolo anga anakanika kundiphunzitsa chifukwa, mwa zina, cha umphawi."
"But when I got married and was blessed with some kids,","Koma nditakwatiwa ndi kukhala ndi ana anga,"
" I believed that through hard work, I would be able to educate my kids.",ndidayamba kukhulupilira kuti nditalimbikira ndikhoza kuphunzitsa ana anga. 
Our leaders used to tell us there was no reason to worry as the land was indeed producing more than enough. ,Atsogoleri athu ankatilimbikitsa kuti panalibe chodandaula poti nthaka yathu imapereka zokwanira
Farming was a very promising occupation and the only hope for our uneducated community.”,Ulimi unali ntchito yokhayo imene imabweretsa chiyembekezo kwa ife amene sitinapite patali ndi sukulu.” 
"Unfortunately, Ganizani’s dreams were shattered by the brutal effects of climate change.","Mwatsoka, maloto a a Ganizani anasasuka kaamba ka mavuto obwera chifukwa cha kusintha kwa nyengo."
"“We first noticed that something was wrong around us after the year 2003, when the rainfall pattern changed. ","“Mu chaka cha 2003, tinazindikira kuti chinachake sichili bwino pamene tinaona kusintha ndi m’mene mvula imagwera."
"Unexpected floods, droughts, and dry spells became an annual occurrence,” she says. ","Mosayembekezereka, kusefukira kwa madzi, chilala ndi ng’amba zidayamba kuoneka chaka ndi chaka,” a Ganizani amatero polankhula. "
"“The floods and dry spells quickly resulted in dwindling yields, leading to food shortages and subsequently taking us into extreme poverty.”","“Posakhalitsa, kusefukira kwa madzi ndi ng’amba zidapangitsa kuti zokolola zathu ziyambe kuchepa, zimene zotsatira zake ndi kusowa chakudya ndi umphawi wa dzaoneni.”"
"In 2004, heavy floods from the nearby Lifidzi River destroyed Ganizani’s village and farmland. ","Mu chaka cha 2004, mtsinje wa Lifidzi udasefukira kwambiri ndikuononga mudzi wa a Ganizani komanso minda yawo. "
"“After the floods we moved to a new area, only to be given a smaller piece of land.","“Kutsatira kusefukira kwa madziko, tidasamukira kudera lina, kumene tidapatsidwa malo ochepa"
We continue to harvest just enough to last us a few months.”,Timangolola zochepa zimene zimatisunga kwa miyezi yowerengeka.”
"Now, 15 years after relocating to higher ground, Ganizani and her family are poorer that than they were in 2003.","Pano, zaka 15 zakwana kuchokera nthawi yomwe a Ganizani ndi banja lawo adasamukira kumtunda, komabe ndi osaukitsitsa kuposa m’mene analili chaka cha 2003."
"“I do believe that climate change and poverty should be addressed together,” she says.","“Ndimakhulupilira kuti ndi kwabwino kulimbana ndi mavuto a kusintha kwa nyengo ndi umphawi limodzi,” amatero."
Lives and livelihoods,Miyoyo ndi Njira Zopezera Chuma
"Although climate change has turned the lives of many Malawians upside down,","Ngakhale kusintha kwa nyengo kwasadabuza miyoyo ya aMalawi ambiri,"
"and in spite of the government of Malawi and other organizations’ interventions, ","komanso posatengera kuti boma la Malawi ndi a mabungwe akuyesetsa kuchitapo kanthu, "
communities are continuing to indirectly contribute to climate change.,madera ambiri akupitirizabe kuthandizira kusintha kwa nyengo.
"“Many people want to run away from poverty by cutting down trees for charcoal and cultivating along river banks, ",“Anthu ambiir amafuna kuturuka mu umphawi podula mitengo ndi kumaotcha Makala ndi kulima m’mbali mwa mitsinje
"which in turn makes them vulnerable to floods and droughts,” says George Majawa, Chairman of the Kandulu Village Disaster Risk Management Committee (VDRMC).","zimene zimawayika pa chiopsyezo cha kusefukira kwa madzi ndi chilala,” akutero a George Majawa, Mkhala pa Mpando wa komiti yoona za ngozi zakugwa mwadzidzidzi (VDRMC) ya m’mudzi wa Kandulu. "
"Environmental District Officer for Salima, Davies Chogawana, concurs with Bwanali ","Mkulu Oona za Chilengedwe m’boma la Salima, a Davies Chogawana, akugwirizana ndi a Bwanali "
and says that efforts to address the impacts of climate change are continually challenged by local efforts to end poverty. ,ponena kuti ntchito yolimbana ndi mavuto a kusintha kwa nyengo ikupitilira kubwelera m’mbuyo chifukwa anthu a ku midzi akulimbana ndi umphawi. 
"People still cut down trees wantonly,   ","“Anthu akudulabe mitengo mwa chisawawa,   "
"they still use charcoal on a large scale,","ambiri akugwiritsabe ntchito Makala,"
"and some of them still cultivate on river banks,","ena akupitirizabe kulima m’mbali mwa mitsinje,"
"triggering ever more floods and droughts,” says Chogawana.","zimene zikuonjezera kusefukira kwa madzi ndi chilala,” akutero a Chogawana."
"Communities in the flood-affected districts of Salima, Chikwawa, Machinga, and Dedza are heavily dependent on the environment ","Anthu a midzi ya m’maboma okhudzidwa ndi kusefukira kwa madzi ya Salima, Chikwawa, Machinga ndi Dedza amadalira kwakukulu zopezeka m’chilengedwe "
"and natural resources such as water, land, forests, and biodiversity for their livelihoods - as are most communities in the country. ","monga madzi, nthaka ndi nkhalango kuti apeze zofunikira pa miyoyo yawo – monganso amachitira anthu ambiri a m’dziko muno"
"The enterprises involved include agriculture, charcoal burning, brick making, and other small-scale businesses that are mostly environmentally degrading. ","Ntchito zawo zimakhala zokhudza ulimi, kuotcha makala, kuumba njerwa ndi ma bizinesi ena ang’onoang’ono oononga chilengedwe"
Unsustainable land-use practices and climate change exacerbates the effects of environmental degradation.,Kugwiritsa ntchito za mchilengedwe mosaganizira mawa ndi kusintha kwa nyengo zimathandizana kuonjezera mavuto a kuonongeka kwa chilengedwe. 
"Assistant Disaster Risk Management Officer for Salima, Blessings Kamtema, says that it is unfortunate that not all victims of climate change related disasters have been reached by interventions.","Othandizira kwa Mkulu Oona za Ngozi Zogwa Mwadzidzidzi m’boma la Salima, a Blessings Kamtema, akunena kuti ndizokhumudwitsa kuti si onse okhudzidwa ndi mavuto a kusintha kwa amene afikiridwa ndi thandizo"
"“Salima, one of the districts most hit by climate change in Malawi, has been receiving support from many organizations.","“Salima, limodzi mwa maboma amene akhudzidwa ndi kusintha kwa nyengo ku Malawi, lakhala likuthandizidwa ndi mabungwe ochuruka. "
"However, these area-specific interventions might not have restored the livelihoods of all the people affected.”","Komabe, zikuoneka kuti chithandizo sichinafikire madera ndi anthu onse okhudzidwa"
"While efforts by some local NGOs have yielded some benefits in helping communities affected by floods and other climate related disasters, there is room for further improvement. ","Pamene mabungwe omwe si a boma ayamba kuona phindu pa zina mwa ntchito zawo zothandiza midzi yokhudzidwa ndi kusefukira kwa madzi komanso mavuto ena a kusintha kwa nyengo, pali mwayi oti zinthu zikhoza kukonzedwabe"
There need to be more concerted efforts towards the restoration of the affected communities’ livelihoods; ,Pakufunikira kulimbikira pa ntchito yobwezeretsa njira zopezera chuma kwa midzi yokhudzidwa; 
"this could be through the provision of agriculture inputs, ","izi zikhoza kukhala kudzera mu thandizo la zida za ulimi,"
"the diversification of income-generating activities, ","njira zina zopezera ndalama, "
and combining sustainable flood-preparedness ,komanso zophatikiza kudziteteza ku mavuto a kusefukira kwa madzi 
and mitigation with basic development activities. ,ndi ntchito za chitukuko. 
"This has the potential to reduce vulnerability, building the affected communities’ resilience to current floods and future disasters.","Izi zili ndi kuthekera kochepetsa chiopsyezo, kulimbikitsa midzi yokhudzidwa kukhala yozidalira m’mene madzi asefukira ndi ngozi zina zamtsogolo. "
Early warnings ,Kulawilira ndi Machenjezo
There is also need to strengthen the weaknesses exposed by the 2015 floods in flood forecasting and early warning systems. ,Paliso kufunikira kolimbikitsa zofooka zimene zinaonekera nthawi ya kusefukira kwa madzi mu 2015 kumbali yoona madera amene ali pa chiopsyezo komanso kufulumira ndi machenjezo. 
"By strengthening these systems countrywide,  ","Polimbikitsa mbali zimenezi,"
relevant departments can coordinate and prepare for flooding –,magawo a boma oyenerera atha kulumikizana ndi kukonzetsera za kusefukira kwa madzi-
and communities are warned in advance. ,komanso kudziwitsiratu midzi imene ingakhuzidwe.
"Monitoring the predicted increases in temperature and rainfall variability,  ","Pochita kalondolondo wa kusiyana ndi kusintha kwa kutentha ndi magwedwe a mvula, "
"as well as the ability to forecast these changes,","komanso kutha kuona m’mene nyengo ikusinthira, "
is also a key capability that will allow Malawi to effectively adapt to the impacts of climate variability and change.,ndi kuthekera kofunikira kuti dziko la Malawi lithe kulimbana ndi mavuto a kusiyana ndi kusintha kwa nyengo moyenerera.
"In particular, daily and seasonal weather and climate information can be used by subsistence farmers to plan planting strategies, crop types, and the application of agricultural inputs, ","Makamaka, poyang’anira nyengo ya tsiku ndi tsiku komanso nyengo yozolowereka zikhoza kuthandiza alimi kusankha ulimi oyenera, mitundu ya mbewu, ndi mankhwala kapena feteleza oyenera; "
and by fishermen to navigate stormy weather and plan times and locations for drying fish,komanso asodzi kupewa namondwe ndi kukonzetsera nthawi ndi malo oumitsira nsomba. 
"Similarly, information on impending floods, considering current environmental and social conditions ","Chimodzimodzinso, podziwa malo amene madzi angasefukire, poganizira chilengedwe ndi chikhalidwe cha anthu"
"as well as the expected and current rainfall across river catchments, enables preparedness activities, ","ndi kusintha kwa magwedwe a mvula, zimathandiza kukonzekera "
which are critical to reducing the vulnerability of communities and livelihoods at risk from flooding.,ndi kuchepetsa chiopsyezo cha anthu ndi ntchito zawo ku mavuto a kusefukira kwa madzi.
The government of Malawi with support from the UNDP has secured funding from the Green Climate Fund to scale up the use of modernised early warning systems and climate information in the country. ,"Boma la Malawi, ndi thandizo lochokera ku UNDP lapeza ndalama kuchokera ku GCF kuti lionjezere njira za makono zochenjezera anthu ndi chidziwitso cha za nyengo m’dziko la Malawi. "
The project will work with communities in food insecure districts ,Ntchitoyi ichitika m’mabomo omwe kuli anthu osowa chakudya pamodzi ndi anthu a ku mudzi 
"to co-develop tailored weather and climate-based advisories to be disseminated through ICT/mobile, print, and radio channels. ","kukonza mauthenga ogwirizana ndi kuderako amene adzafalisidwe kudzera pa mafoni, olemba nkhani komanso nyumba zoulutsira mau. "
The project will also scale up best practices in community readiness to respond to disasters and mitigate key risks.,Ntchitoyi idzalimbikitsanso zoyenera kuchita kuti midzi ikhale yokonzeka kulimbana ndi ngozi zakugwa mwadzidzidzi ndi mavuto ake.
Over 50 percent of Malawians live in poverty and around 80 percent of Malawians depend on farming for their livelihoods. ,"Anthu oposa theka la a Malawi akukhala mu umphawi, ndipo ambiri kuposera apo amadalira ulimi kuti apeze zofunikira. "
"Unless climate smart technologies are passed on to all smallholder farmers,","Ngati njira zochepetsa mavuto a kusintha kwa nyengo siziphunzitsidwa kwa alimi ang’onoang’ono onse, "
 the government goal of ending poverty by 2030 as committed to in the UN Sustainable Development Goals (2015-2030) will not be achieved. ,chiyang’anira cha boma chofuna kuthana ndi umphawi pofika chaka cha 2030 mogwirizana ndi pangano la mgwirizano wa maiko onse a dziko la pansi la ma SDG (2015-2030) sichifikirika.
"In the longer term, if poverty is not checked and alternative economic activities are not identified and put into practice,","Popita nthawi, ngati sipapezeka njira zokhazikika zopezera ndalama ndi kuthana ndi umphawi, "
little progress will be made in creating climate change resilience within Malawian rural communities and allowing people to continue farming on their land.,sipakhala kusintha kwenikweni pa ntchito yothandiza kupanga madera a kumudzi otetezeka ku mavuto a kusintha kwa nyengo ndi kulola anthu kupiririza kulima minda yawo. 
"energy is essential for cooking/heating, lighting and powering industry.","Mphamvu za magetsi zimatithandiza kuphikira, kuwalitsira m’chipinda kapena pamalo, kutenthetsera zinthu, komanso kuyendetsa ntchito za mafakitale."
Malawi is one of the least electrified countries globally and hence relies on wood fuel (charcoal and firewood) as a source of energy,Malawi ndi dziko limodzi pa dziko lonse lapansi lomwe anthu ambiri samagwiritsa ntchito magetsi kotero amadalira kugwiritsa ntchito makala pophika
Illegal and unsustainably produced charcoal is the main driver of deforestation and forest degradation in Malawi,Kuwotcha makala mosaloledwa ndi chimodzi chomwe chikupangitsa kuti mitengo idulidwe mwachisawawa komanso kuwonongeka kwa nkhalango
Deforestation has led to significant soil erosion and land degradation which have affected food production and livelihoods,Kudula kwa mitengo kumapangitsa nthaka kuti ikokoloke chifukwa imakhala yosatetezeka zomwe zikumapangitsa zokolola kukhala zochepa
"Deforestation has also increased the cost of electricity generation due to siltation of the Shire River, the main source of Malawi’s electricity, resulting in increased costs to consumers","Mchitidwe odula mitengo wapangitsanso kuti matope adzikokoloka ndi madzi ku mtunda, ndi kukasokoneza ntchito yopanga magetsi odalira mphamvu ya madzi mu mtsinje wa Shire. Mapeto ake, anthu ogwiritsa ntchito magetsi amagula magetsiwo pamtengo okwera"
We now have alternatives to illegal and unsustainably produced charcoal. ,Pano pali njira zabwino zopezera mphavu za magetsi posagwiritsa ntchito makala
We have to use the alternatives including Liquified Petroleum Gas (LPG) as well as legal licensed charcoal ,tikuyenera kugwiritsa ntchito gasi kapena makala opangidwa ndi chilolezo cha boma pophikira
"in order to limit the rate of deforestation and its negative effects on food security, agriculture productivity and energy security",kuti tichepetse mchitidwe odula mitengo mwachisawawa zomwe zingapangitse kuti mavuto monga a njala komanso kukwera mtengo ndi kuzimazima kwa magetsi opangidwa ndi mphamvu ya madzi athe
Land degradation and soil erosion,Kukokoloka kwa nthaka
"Clearing forests for charcoal production directly results in land degradation which affects food production and livelihoods, ",Kudula mitengo ndi kuotcha makala mosatsatira malamulo kumapangitsa kuti nthaka ikokoloke zomwe zimapangitsa kuti anthu asakolore zambiri
"making our households and communities more vulnerable to climate change, and deepening poverty","Mchitidwewu umapangitsanso kuti nyengo izisintha mwachangu, ndipo umphawi umachuluka popeza anthu amasowa pogwira ntchito za ulimi zikalowa pansi."
"Increased forest cover loss affects hydro power generation, ",Kuwonongeka kwa nkhalango kumasokoneza ntchito zopanga magetsi kudzera ku madzi
"leading to lower hydroelectric generation, and higher production costs due to widespread soil erosion which leads to siltation and accumulation of debris",kupangitsa kuti magetsi adzipangidwa ochepa ndi modula chifukwa nthaka yokokoloka ndi madzi othamanga imakatsira matope ndi zinyalala m'mitsinje ndi malo omwe amapangira magetsi
The lack of reliable and affordable electricity affects every user,kukakhala ndi magetsi osadalilika zimakhudza munthu aliyense
"at the same time, limits the production capacity of our commercial and industrial sectors",makamakanso zimasokoneza ntchito za mafakitale ndi makampani
"constrains our efforts to attract investment, leading to slow economic growth and national development","zimasokoneza ntchito zokopa anthu ofuna kuchita malonda m'dziko muno, choncho chuma chadziko sichimapita patali"
"As a result, the lack of reliable electric power to sustain and grow operations has often been cited as a challenge for many investors leading to loss of jobs and limited job creation opportunities",Zimenezi zimasokonezanso ntchito za malonda m’dziko popeza anthu ndi kampani sangafune kuyambitsa ntchito za malonda m’dziko limene magetsi ake ndi osadalirika
Increased exposure to climate change related disasters,Kuchuluka kwa chiwerengero cha ngozi zodza mwadzidzidzi
